index,y
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,4832.3203125
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,10307.912109375
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,2103.49609375
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,11216.251953125
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,8521.15625
227,6468.56396484375
228,8496.3935546875
229,3387.003173828125
230,8271.234375
231,1993.7054443359375
232,3870.925537109375
233,13270.0888671875
234,3592.462890625
235,6386.361328125
236,6537.431640625
237,3665.85693359375
238,4608.7294921875
239,3224.846435546875
240,7594.33349609375
241,4473.783203125
242,4766.22119140625
243,5117.89453125
244,7364.03564453125
245,4741.60400390625
246,4575.08349609375
247,8522.06640625
248,7272.38232421875
249,5091.0732421875
250,6494.22998046875
251,12311.72265625
252,3638.903076171875
253,5625.5537109375
254,5536.37451171875
255,2732.43359375
256,9080.625
257,6344.060546875
258,15702.6552734375
259,3890.431640625
260,5387.00341796875
261,0.0
262,9861.9921875
263,3791.03955078125
264,7726.91845703125
265,5358.3515625
266,6901.25439453125
267,7274.60107421875
268,7417.3056640625
269,4919.767578125
270,14968.4345703125
271,6550.0595703125
272,2943.890869140625
273,5698.33154296875
274,11842.173828125
275,12888.1962890625
276,7094.64990234375
277,2856.33154296875
278,5297.66552734375
279,4446.8896484375
280,6100.939453125
281,3806.521240234375
282,7576.33740234375
283,4073.80517578125
284,6714.86669921875
285,6246.72021484375
286,6357.6796875
287,8202.150390625
288,6987.20263671875
289,9697.400390625
290,6013.85693359375
291,6738.49853515625
292,7178.5029296875
293,6594.453125
294,3162.5517578125
295,5471.93408203125
296,5582.7548828125
297,8043.701171875
298,4222.14453125
299,6371.5703125
300,4634.5107421875
301,8920.4580078125
302,6274.8544921875
303,8606.3369140625
304,7011.0380859375
305,7473.7255859375
306,5906.35546875
307,4415.17578125
308,4415.591796875
309,5099.36474609375
310,6920.6611328125
311,9012.6474609375
312,5252.52001953125
313,5016.92431640625
314,2347.159912109375
315,2386.788818359375
316,14253.005859375
317,5148.978515625
318,13704.50390625
319,7016.01416015625
320,6503.2578125
321,4923.3671875
322,13444.3447265625
323,7238.40283203125
324,7186.421875
325,5868.8896484375
326,6445.81689453125
327,5704.14501953125
328,6525.9541015625
329,9077.9111328125
330,8336.111328125
331,3558.709716796875
332,3810.666259765625
333,5821.86083984375
334,5104.80517578125
335,7509.9716796875
336,5243.8955078125
337,4081.228515625
338,5568.775390625
339,6278.2099609375
340,10622.2763671875
341,6605.8173828125
342,4359.39453125
343,7188.9638671875
344,19824.83203125
345,7210.74267578125
346,6025.8603515625
347,9931.19140625
348,6020.88623046875
349,4118.42919921875
350,3167.269775390625
351,3582.741455078125
352,4966.64453125
353,6250.67578125
354,4107.3232421875
355,4235.69091796875
356,4575.6318359375
357,2029.09765625
358,11871.3330078125
359,4224.74609375
360,6956.021484375
361,6202.78759765625
362,10053.8974609375
363,3519.735595703125
364,6560.033203125
365,5118.255859375
366,8253.2421875
367,6601.4169921875
368,8632.3974609375
369,5422.62841796875
370,15714.720703125
371,5706.87548828125
372,8999.263671875
373,0.0
374,3495.4541015625
375,4894.38037109375
376,12661.0078125
377,5292.81591796875
378,3964.214111328125
379,8218.267578125
380,19830.7578125
381,9559.4892578125
382,5282.80712890625
383,8503.7978515625
384,5234.919921875
385,5502.4736328125
386,10116.6171875
387,4104.60009765625
388,2453.029296875
389,7191.162109375
390,11852.080078125
391,4073.188720703125
392,6235.38916015625
393,6802.7705078125
394,7457.896484375
395,6655.26904296875
396,4518.77197265625
397,6164.0595703125
398,4052.1533203125
399,4301.38623046875
400,5347.77783203125
401,8307.5869140625
402,5357.177734375
403,4951.30908203125
404,8667.697265625
405,5720.55126953125
406,3623.1015625
407,5511.9072265625
408,4658.552734375
409,3386.036865234375
410,3488.274658203125
411,6891.69970703125
412,6282.0390625
413,4248.40185546875
414,11464.357421875
415,3165.6279296875
416,9620.06640625
417,5864.46826171875
418,3580.27392578125
419,5698.169921875
420,4346.56396484375
421,5811.2216796875
422,8863.1064453125
423,3260.576171875
424,7266.48388671875
425,6488.74365234375
426,8714.0322265625
427,8414.623046875
428,6425.39892578125
429,11067.5732421875
430,5911.84375
431,9786.1484375
432,7124.86572265625
433,9353.611328125
434,5944.5703125
435,4650.92041015625
436,7321.9892578125
437,7305.4541015625
438,3532.44189453125
439,5091.794921875
440,5179.2265625
